id,title,release_date,release_year,budget,revenue,runtime,popularity,vote_average,vote_count,original_language,genres,genre_count,in_collection,adult,status
189,Sin City: A Dame to Kill For,2014-08-20,2014,65000000,39407616,102,7.2972,6.403,4138,en,"Action, Crime, Thriller",3,True,False,Released
1771,Captain America: The First Avenger,2011-07-22,2011,140000000,370569774,124,9.026,7.004,22628,en,"Action, Adventure, Science Fiction",3,True,False,Released
1865,Pirates of the Caribbean: On Stranger Tides,2011-05-15,2011,379000000,1046721266,136,13.524,6.566,14872,en,"Adventure, Action, Fantasy",3,True,False,Released
1930,The Amazing Spider-Man,2012-06-23,2012,215000000,758725893,136,17.6519,6.732,18407,en,"Action, Adventure, Science Fiction",3,True,False,Released
4258,Scary Movie 5,2013-04-11,2013,20000000,78613981,88,7.2694,4.791,3007,en,Comedy,1,True,False,Released
7978,The Wolfman,2010-02-10,2010,150000000,140700000,103,5.2078,5.9,2164,en,Horror,1,False,False,Released
8952,I Love You Phillip Morris,2010-02-04,2010,13000000,20768906,98,2.8019,6.419,1806,en,"Comedy, Crime, Drama, Romance",4,False,False,Released
8967,The Tree of Life,2011-05-17,2011,32000000,54700000,139,4.0647,6.727,3312,en,"Drama, Fantasy",2,False,False,Released
9364,Wuthering Heights,2011-09-09,2011,5692172,1742215,124,3.6969,5.873,275,en,"Drama, Romance",2,False,False,Released
9543,Prince of Persia: The Sands of Time,2010-05-19,2010,200000000,336365676,116,7.6761,6.296,7126,en,"Adventure, Fantasy, Action",3,False,False,Released
10138,Iron Man 2,2010-04-28,2010,200000000,623933331,124,28.7536,6.851,22269,en,"Adventure, Action, Science Fiction",3,True,False,Released
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010-12-02,2010,155000000,415686217,113,6.7897,6.44,5871,en,"Adventure, Family, Fantasy",3,True,False,Released
10191,How to Train Your Dragon,2010-03-18,2010,165000000,495141736,98,13.0268,7.857,14276,en,"Fantasy, Adventure, Animation, Family",4,True,False,Released
10192,Shrek Forever After,2010-05-20,2010,165000000,752600867,93,12.5911,6.393,7898,en,"Comedy, Adventure, Fantasy, Animation, Family",5,True,False,Released
10193,Toy Story 3,2010-06-16,2010,200000000,1067316101,102,15.4923,7.804,15635,en,"Animation, Family, Comedy",3,True,False,Released
10195,Thor,2011-04-21,2011,150000000,449326618,115,15.0319,6.768,22244,en,"Adventure, Fantasy, Action",3,True,False,Released
10196,The Last Airbender,2010-06-30,2010,150000000,319713881,103,6.9756,4.647,4242,en,"Action, Adventure, Fantasy",3,False,False,Released
10316,The Ides of March,2011-10-07,2011,12500000,76338111,101,3.9939,6.679,2690,en,Drama,1,False,False,Released
10317,Our Brand Is Crisis,2015-09-11,2015,28000000,7002261,107,1.8465,5.9,526,en,"Comedy, Drama",2,False,False,Released
10679,Iron Sky,2012-04-04,2012,7500000,10109659,93,3.0911,5.749,1758,en,"Action, Comedy, Science Fiction",3,True,False,Released
11324,Shutter Island,2010-02-14,2010,80000000,294804195,138,18.3919,8.198,25692,en,"Drama, Thriller, Mystery",3,False,False,Released
11439,The Ghost Writer,2010-02-12,2010,45000000,60300000,128,3.2116,6.82,2432,en,"Thriller, Mystery",2,False,False,Released
12155,Alice in Wonderland,2010-03-03,2010,200000000,1025467110,108,13.6924,6.639,14730,en,"Family, Fantasy, Adventure",3,True,False,Released
12201,Edge of Darkness,2010-01-28,2010,80000000,81126522,117,7.7807,6.416,1707,en,"Crime, Drama, Mystery, Thriller",4,False,False,Released
12444,Harry Potter and the Deathly Hallows: Part 1,2010-11-17,2010,250000000,954305868,146,19.8285,7.734,20270,en,"Adventure, Fantasy",2,True,False,Released
12445,Harry Potter and the Deathly Hallows: Part 2,2011-07-12,2011,125000000,1341511219,130,22.0168,8.08,21869,en,"Adventure, Fantasy",2,True,False,Released
12645,Inhale,2010-08-27,2010,10000000,55089,100,1.1078,6.019,130,en,"Drama, Action, Thriller",3,False,False,Released
12819,Alpha and Omega,2010-07-05,2010,20000000,50507267,88,3.5637,5.957,550,en,"Animation, Family, Comedy, Adventure, Romance",5,True,False,Released
13477,When in Rome,2010-01-29,2010,55000000,43042835,91,3.5157,5.9,1269,en,"Comedy, Fantasy, Romance",3,False,False,Released
14564,Rings,2017-02-01,2017,25000000,83080890,102,4.9551,5.016,2600,en,Horror,1,True,False,Released
16290,Jackass 3D,2010-10-15,2010,20000000,117224271,94,3.1479,6.6,1450,en,"Comedy, Documentary, Action",3,True,False,Released
17578,The Adventures of Tintin,2011-10-24,2011,130000000,373993951,107,8.1576,6.919,5775,en,"Adventure, Animation, Mystery",3,False,False,Released
18823,Clash of the Titans,2010-03-26,2010,125000000,493214993,106,8.6356,5.916,6646,en,"Adventure, Fantasy, Action",3,True,False,Released
19901,Daybreakers,2010-01-06,2010,20000000,51417188,98,5.4357,6.281,2152,en,"Action, Fantasy, Science Fiction",3,False,False,Released
20352,Despicable Me,2010-07-08,2010,69000000,543284256,95,15.9499,7.256,15990,en,"Animation, Comedy, Crime, Family, Science Fiction",5,True,False,Released
20504,The Book of Eli,2010-01-14,2010,80000000,157107755,118,8.3597,6.795,6631,en,"Action, Thriller, Science Fiction",3,False,False,Released
20526,TRON: Legacy,2010-12-14,2010,170000000,409912892,126,9.3915,6.539,7864,en,"Adventure, Action, Science Fiction",3,True,False,Released
20533,Jonah Hex,2010-06-18,2010,47000000,10539000,81,3.0888,4.954,1535,en,"Western, Fantasy, Thriller",3,False,False,Released
20662,Robin Hood,2010-05-12,2010,200000000,321669741,140,7.5344,6.396,4987,en,"Action, Adventure, History, Drama",4,False,False,Released
22538,Scott Pilgrim vs. the World,2010-08-12,2010,73000000,51825248,113,7.3329,7.485,8516,en,"Action, Comedy, Romance",3,False,False,Released
22894,Legion,2010-01-21,2010,26000000,67918658,100,7.9494,5.9,2839,en,"Action, Fantasy, Horror",3,False,False,Released
22907,Takers,2010-08-26,2010,32000000,80205382,107,5.078,6.236,1368,en,"Action, Crime, Drama, Thriller",4,False,False,Released
22970,The Cabin in the Woods,2012-04-12,2012,30000000,71038838,95,8.7759,6.648,8480,en,"Horror, Mystery, Comedy",3,False,False,Released
22971,Dear John,2010-02-04,2010,25000000,114977104,108,4.3863,6.84,4270,en,"Drama, Romance, War",3,False,False,Released
22972,Green Zone,2010-03-11,2010,100000000,94882889,115,5.9927,6.488,2358,en,"War, Action, Adventure, Drama, Thriller",5,False,False,Released
23023,Tooth Fairy,2010-01-14,2010,48000000,112462508,101,4.3282,5.476,2096,en,"Comedy, Family, Fantasy",3,True,False,Released
23047,Season of the Witch,2011-01-07,2011,40000000,91627228,95,4.3319,5.524,2630,en,"Adventure, Fantasy, Action",3,False,False,Released
23048,Hot Tub Time Machine,2010-03-26,2010,36000000,64780213,101,4.0693,6.043,2720,en,"Science Fiction, Comedy, Adventure",3,True,False,Released
23168,The Town,2010-09-15,2010,37000000,154026136,125,7.9631,7.218,5589,en,"Crime, Drama, Thriller",3,False,False,Released
23169,Remember Me,2010-03-11,2010,16000000,56000000,113,5.7207,7.098,3697,en,"Drama, Romance",2,False,False,Released
23172,The Spy Next Door,2010-01-15,2010,28000000,66166000,94,6.4741,5.879,1400,en,"Action, Comedy, Family",3,False,False,Released
23437,A Nightmare on Elm Street,2010-04-30,2010,35000000,115665418,95,5.779,5.525,2895,en,"Horror, Mystery, Thriller",3,False,False,Released
23483,Kick-Ass,2010-03-26,2010,28000000,96188903,118,9.7107,7.124,12323,en,"Action, Crime",2,True,False,Released
23514,The Rum Diary,2011-10-13,2011,45000000,24000000,120,2.8518,5.88,1322,en,"Comedy, Drama",2,False,False,Released
23629,Sucker Punch,2011-03-24,2011,82000000,89792502,110,5.0448,6.192,5028,en,"Action, Fantasy, Thriller",3,False,False,Released
23631,Machete,2010-09-01,2010,10500000,45491656,105,5.3866,6.344,3529,en,"Action, Comedy, Thriller",3,True,False,Released
23742,Cop Out,2010-02-26,2010,30000000,55600000,107,3.6125,5.543,1621,en,"Action, Comedy, Crime",3,False,False,Released
23759,Centurion,2010-02-15,2010,12000000,6890432,97,5.4494,6.236,1550,en,"Adventure, Action, Drama",3,False,False,Released
23830,Last Night,2010-11-05,2010,7000000,7644937,93,3.7622,6.1,816,en,"Drama, Romance",2,False,False,Released
24021,The Twilight Saga: Eclipse,2010-06-23,2010,68000000,698491347,124,10.6277,6.195,9210,en,"Adventure, Fantasy, Drama, Romance",4,True,False,Released
24428,The Avengers,2012-04-25,2012,220000000,1518815515,143,50.9247,8.007,37415,en,"Science Fiction, Action, Adventure",3,True,False,Released
25195,Leap Year,2010-01-08,2010,19000000,32686500,100,5.151,6.9,2146,en,"Romance, Comedy",2,False,False,Released
26022,My Name Is Khan,2010-02-10,2010,12000000,42345360,165,4.4664,8.0,1425,hi,"Drama, Romance",2,False,False,Released
26388,Buried,2010-09-24,2010,1987650,19152480,95,3.7229,6.638,3023,en,Thriller,1,False,False,Released
26389,From Paris with Love,2010-02-04,2010,52000000,52800000,92,9.3104,6.375,2291,en,"Action, Crime, Thriller",3,False,False,Released
26390,Brooklyn's Finest,2010-03-04,2010,17000000,45700000,132,3.7582,6.318,983,en,"Crime, Drama, Thriller",3,False,False,Released
27004,Ca$h,2010-03-01,2010,7000000,46488,108,2.8334,5.9,252,en,"Crime, Thriller, Comedy, Mystery",4,False,False,Released
27022,The Sorcerer's Apprentice,2010-07-13,2010,150000000,215300000,109,7.6343,6.139,5244,en,"Fantasy, Adventure, Action",3,False,False,Released
27023,Saint John of Las Vegas,2010-01-29,2010,3800000,111731,84,0.822,5.7,55,en,Comedy,1,False,False,Released
27205,Inception,2010-07-15,2010,160000000,839030630,148,32.4608,8.372,39064,en,"Action, Science Fiction, Adventure",3,False,False,Released
27569,Extraordinary Measures,2010-01-21,2010,31000000,15134293,106,3.047,6.271,341,en,Drama,1,False,False,Released
27573,The Bounty Hunter,2010-03-16,2010,40000000,136300000,110,3.0998,5.846,3036,en,"Action, Comedy, Romance",3,False,False,Released
27576,Salt,2010-07-21,2010,110000000,293329073,100,7.4297,6.412,5888,en,"Action, Mystery, Thriller",3,False,False,Released
27578,The Expendables,2010-08-07,2010,80000000,274470394,103,12.441,6.253,8242,en,"Thriller, Adventure, Action",3,True,False,Released
27579,The American,2010-08-31,2010,20000000,67900000,104,5.7051,5.98,1501,en,"Crime, Drama, Thriller",3,False,False,Released
27581,The Other Guys,2010-08-06,2010,100000000,170432927,107,7.2655,6.328,4544,en,"Comedy, Action",2,False,False,Released
27582,The Mechanic,2011-01-13,2011,40000000,51070807,93,8.3781,6.527,3566,en,"Action, Thriller, Crime",3,True,False,Released
27583,Greenberg,2010-03-26,2010,25000000,6344112,107,2.611,5.89,621,en,"Comedy, Drama, Romance",3,False,False,Released
27584,High School,2010-06-03,2010,10000000,221590,99,2.4468,5.7,163,en,Comedy,1,False,False,Released
27585,Rabbit Hole,2010-12-16,2010,5000000,5144717,91,3.2885,6.651,653,en,Drama,1,False,False,Released
27586,The Runaways,2010-03-19,2010,10000000,2995811,107,2.8526,6.457,833,en,"Drama, Music",2,False,False,Released
28211,Chloe,2010-02-25,2010,14000000,13657649,96,4.6207,6.134,1856,en,"Drama, Thriller, Mystery",3,False,False,Released
28510,Universal Soldier: Regeneration,2010-02-23,2010,14000000,153977852,97,2.6436,5.641,486,en,"Adventure, Action, Science Fiction, Thriller",4,True,False,Released
29159,Giallo,2010-03-13,2010,14000000,50113,92,0.845,4.195,177,it,"Crime, Horror, Mystery, Thriller",4,False,False,Released
29426,Survival of the Dead,2010-05-06,2010,4000000,386078,90,1.8308,4.9,503,en,"Horror, Comedy, Drama, Thriller",4,True,False,Released
29427,The Crazies,2010-02-26,2010,20000000,54956140,101,5.2784,6.309,2253,en,"Mystery, Horror, Action",3,False,False,Released
29888,Dulha Mil Gaya,2010-01-08,2010,5600000,2700000,152,0.9899,5.4,33,hi,"Comedy, Drama, Romance",3,False,False,Released
30618,Bunraku,2010-09-01,2010,25000000,129706,124,2.7398,5.792,348,en,"Thriller, Action, Drama",3,False,False,Released
31059,Our Russia: Eggs of Destiny,2010-01-20,2010,2000000,22212223,85,0.896,4.552,77,ru,Comedy,1,False,False,Released
31458,Rann,2010-01-29,2010,7500000,2000000,145,1.0363,6.625,20,hi,"Drama, Thriller",2,False,False,Released
31867,Repo Men,2010-03-18,2010,32000000,18409891,111,4.136,6.329,2081,en,"Action, Science Fiction, Thriller, Crime",4,False,False,Released
32007,Hurricane Season,2010-02-09,2010,143000,1000000,103,1.9854,6.6,66,en,Drama,1,False,False,Released
32511,"Police, Adjective",2010-01-14,2010,1089360,48298,115,0.3645,6.541,61,ro,"Drama, Comedy, Crime",3,False,False,Released
32657,Percy Jackson & the Olympians: The Lightning Thief,2010-02-01,2010,95000000,226497209,118,9.7429,6.212,7787,en,"Adventure, Fantasy, Family",3,True,False,Released
32823,Get Him to the Greek,2010-06-03,2010,40000000,90029656,109,4.0191,5.975,1920,en,"Adventure, Comedy, Music",3,False,False,Released
